loja,sku,dt_contagem,qtd
L007,SKU0003,2026-07-31,115
L007,SKU0004,2026-07-31,108
L007,SKU0008,2026-07-31,71
L007,SKU0009,2026-07-31,126
L007,SKU0011,2026-07-31,3
L007,SKU0012,2026-07-31,166
L007,SKU0013,2026-07-31,290
L007,SKU0014,2026-07-31,211
L007,SKU0015,2026-07-31,261
L007,SKU0016,2026-07-31,104
L007,SKU0018,2026-07-31,4
L007,SKU0019,2026-07-31,3
L007,SKU0020,2026-07-31,113
L007,SKU0022,2026-07-31,203
L007,SKU0023,2026-07-31,188
L007,SKU0024,2026-07-31,101
L008,SKU0001,2026-07-31,281
L008,SKU0002,2026-07-31,228
L008,SKU0003,2026-07-31,57
L008,SKU0004,2026-07-31,94
L008,SKU0005,2026-07-31,178
L008,SKU0006,2026-07-31,238
L008,SKU0008,2026-07-31,202
L008,SKU0009,2026-07-31,43
L008,SKU0010,2026-07-31,177
L008,SKU0011,2026-07-31,25
L008,SKU0013,2026-07-31,146
L008,SKU0017,2026-07-31,121
L008,SKU0018,2026-07-31,223
L008,SKU0020,2026-07-31,107
L008,SKU0021,2026-07-31,141
L008,SKU0022,2026-07-31,228
L008,SKU0023,2026-07-31,138
L008,SKU0024,2026-07-31,184
L008,SKU0025,2026-07-31,224
L009,SKU0002,2026-07-31,98
L009,SKU0003,2026-07-31,6
L009,SKU0004,2026-07-31,91
L009,SKU0005,2026-07-31,133
L009,SKU0006,2026-07-31,235
L009,SKU0007,2026-07-31,5
L009,SKU0009,2026-07-31,194
L009,SKU0011,2026-07-31,228
L009,SKU0012,2026-07-31,167
L009,SKU0015,2026-07-31,205
L009,SKU0016,2026-07-31,109
L009,SKU0017,2026-07-31,184
L009,SKU0019,2026-07-31,71
L009,SKU0021,2026-07-31,172
L009,SKU0022,2026-07-31,173
L009,SKU0023,2026-07-31,205
L009,SKU0024,2026-07-31,210
L009,SKU0025,2026-07-31,234
L010,SKU0001,2026-07-31,152
L010,SKU0002,2026-07-31,203
L010,SKU0003,2026-07-31,223
L010,SKU0005,2026-07-31,78
L010,SKU0006,2026-07-31,121
L010,SKU0007,2026-07-31,34
L010,SKU0009,2026-07-31,81
L010,SKU0010,2026-07-31,168
L010,SKU0012,2026-07-31,99
L010,SKU0013,2026-07-31,64
L010,SKU0014,2026-07-31,161
L010,SKU0015,2026-07-31,131
L010,SKU0016,2026-07-31,42
L010,SKU0017,2026-07-31,238
L010,SKU0018,2026-07-31,101
L010,SKU0019,2026-07-31,117
L010,SKU0021,2026-07-31,296
L010,SKU0022,2026-07-31,167
L010,SKU0024,2026-07-31,102
L010,SKU0025,2026-07-31,8
L011,SKU0001,2026-07-31,227
L011,SKU0002,2026-07-31,34
L011,SKU0003,2026-07-31,236
L011,SKU0004,2026-07-31,203
L011,SKU0005,2026-07-31,127
L011,SKU0006,2026-07-31,126
L011,SKU0007,2026-07-31,139
L011,SKU0009,2026-07-31,44
L011,SKU0010,2026-07-31,113
L011,SKU0011,2026-07-31,216
L011,SKU0012,2026-07-31,102
L011,SKU0014,2026-07-31,207
L011,SKU0015,2026-07-31,143
L011,SKU0016,2026-07-31,82
L011,SKU0017,2026-07-31,167
L011,SKU0018,2026-07-31,157
L011,SKU0019,2026-07-31,145
L011,SKU0020,2026-07-31,103
L011,SKU0022,2026-07-31,111
L012,SKU0002,2026-07-31,159
L012,SKU0003,2026-07-31,152
L012,SKU0004,2026-07-31,132
L012,SKU0006,2026-07-31,218
L012,SKU0007,2026-07-31,137
L012,SKU0008,2026-07-31,132
L012,SKU0011,2026-07-31,159
L012,SKU0012,2026-07-31,93
L012,SKU0013,2026-07-31,149
L012,SKU0014,2026-07-31,215
L012,SKU0016,2026-07-31,43
L012,SKU0017,2026-07-31,195
L012,SKU0018,2026-07-31,165
L012,SKU0020,2026-07-31,77
L012,SKU0022,2026-07-31,8
L012,SKU0023,2026-07-31,242
L012,SKU0024,2026-07-31,115
L012,SKU0025,2026-07-31,236
L013,SKU0001,2026-07-31,62
L013,SKU0002,2026-07-31,59
L013,SKU0003,2026-07-31,149
L013,SKU0006,2026-07-31,139
L013,SKU0007,2026-07-31,164
L013,SKU0008,2026-07-31,52
L013,SKU0009,2026-07-31,249
L013,SKU0010,2026-07-31,100
L013,SKU0011,2026-07-31,65
L013,SKU0013,2026-07-31,139
L013,SKU0014,2026-07-31,111
L013,SKU0015,2026-07-31,135
L013,SKU0016,2026-07-31,55
L013,SKU0017,2026-07-31,100
L013,SKU0019,2026-07-31,144
L013,SKU0020,2026-07-31,83
L013,SKU0021,2026-07-31,149
L013,SKU0023,2026-07-31,80
L014,SKU0001,2026-07-31,133
L014,SKU0002,2026-07-31,137
L014,SKU0003,2026-07-31,174
L014,SKU0004,2026-07-31,144
L014,SKU0005,2026-07-31,165
L014,SKU0007,2026-07-31,172
L014,SKU0008,2026-07-31,121
L014,SKU0011,2026-07-31,153
L014,SKU0012,2026-07-31,300
L014,SKU0013,2026-07-31,183
L014,SKU0014,2026-07-31,164
L014,SKU0015,2026-07-31,190
L014,SKU0016,2026-07-31,136
L014,SKU0017,2026-07-31,183
L014,SKU0019,2026-07-31,101
L014,SKU0021,2026-07-31,148
L014,SKU0022,2026-07-31,201
L014,SKU0023,2026-07-31,131
L014,SKU0024,2026-07-31,206
L014,SKU0025,2026-07-31,176
L015,SKU0001,2026-07-31,5
L015,SKU0002,2026-07-31,73
L015,SKU0003,2026-07-31,176
L015,SKU0006,2026-07-31,201
L015,SKU0007,2026-07-31,229
L015,SKU0008,2026-07-31,47
L015,SKU0009,2026-07-31,105
L015,SKU0010,2026-07-31,140
L015,SKU0011,2026-07-31,182
L015,SKU0012,2026-07-31,162
L015,SKU0013,2026-07-31,69
L015,SKU0014,2026-07-31,139
L015,SKU0015,2026-07-31,192
L015,SKU0016,2026-07-31,77
L015,SKU0017,2026-07-31,121
L015,SKU0018,2026-07-31,167
L015,SKU0020,2026-07-31,233
L015,SKU0021,2026-07-31,3
L015,SKU0024,2026-07-31,141
L015,SKU0025,2026-07-31,40
L016,SKU0001,2026-07-31,221
L016,SKU0003,2026-07-31,77
L016,SKU0004,2026-07-31,144
L016,SKU0005,2026-07-31,194
L016,SKU0006,2026-07-31,102
L016,SKU0007,2026-07-31,30
L016,SKU0008,2026-07-31,6
L016,SKU0009,2026-07-31,133
L016,SKU0010,2026-07-31,76
L016,SKU0011,2026-07-31,138
L016,SKU0012,2026-07-31,48
L016,SKU0013,2026-07-31,12
L016,SKU0015,2026-07-31,147
L016,SKU0017,2026-07-31,77
L016,SKU0018,2026-07-31,95
L016,SKU0019,2026-07-31,56
L016,SKU0020,2026-07-31,106
L016,SKU0021,2026-07-31,116
L016,SKU0022,2026-07-31,79
L016,SKU0024,2026-07-31,112
L016,SKU0025,2026-07-31,30
L017,SKU0001,2026-07-31,164
L017,SKU0003,2026-07-31,285
L017,SKU0004,2026-07-31,154
L017,SKU0006,2026-07-31,93
L017,SKU0007,2026-07-31,126
L017,SKU0009,2026-07-31,54
L017,SKU0010,2026-07-31,200
L017,SKU0011,2026-07-31,40
L017,SKU0012,2026-07-31,62
L017,SKU0014,2026-07-31,45
L017,SKU0017,2026-07-31,114
L017,SKU0020,2026-07-31,215
L017,SKU0021,2026-07-31,148
L017,SKU0023,2026-07-31,292
L018,SKU0001,2026-07-31,234
L018,SKU0002,2026-07-31,83
L018,SKU0003,2026-07-31,163
L018,SKU0004,2026-07-31,93
L018,SKU0005,2026-07-31,96
L018,SKU0006,2026-07-31,84
L018,SKU0009,2026-07-31,255
L018,SKU0010,2026-07-31,137
L018,SKU0011,2026-07-31,124
L018,SKU0012,2026-07-31,74
L018,SKU0013,2026-07-31,48
L018,SKU0014,2026-07-31,91
L018,SKU0015,2026-07-31,57
L018,SKU0018,2026-07-31,153
L018,SKU0019,2026-07-31,93
L018,SKU0020,2026-07-31,117
L018,SKU0024,2026-07-31,34
L018,SKU0025,2026-07-31,138
L019,SKU0001,2026-07-31,131
L019,SKU0002,2026-07-31,64
L019,SKU0003,2026-07-31,115
L019,SKU0004,2026-07-31,127
L019,SKU0005,2026-07-31,6
L019,SKU0006,2026-07-31,270
L019,SKU0007,2026-07-31,57
L019,SKU0010,2026-07-31,60
L019,SKU0011,2026-07-31,135
L019,SKU0015,2026-07-31,131
L019,SKU0016,2026-07-31,4
L019,SKU0018,2026-07-31,182
L019,SKU0019,2026-07-31,140
L019,SKU0020,2026-07-31,99
L019,SKU0021,2026-07-31,90
L019,SKU0022,2026-07-31,119
L019,SKU0025,2026-07-31,6
L020,SKU0001,2026-07-31,183
L020,SKU0003,2026-07-31,4
L020,SKU0004,2026-07-31,115
L020,SKU0005,2026-07-31,27
L020,SKU0006,2026-07-31,204
L020,SKU0007,2026-07-31,11
L020,SKU0008,2026-07-31,38
L020,SKU0009,2026-07-31,122
L020,SKU0011,2026-07-31,154
L020,SKU0012,2026-07-31,138
L020,SKU0013,2026-07-31,121
L020,SKU0014,2026-07-31,3
L020,SKU0015,2026-07-31,114
L020,SKU0017,2026-07-31,89
L020,SKU0018,2026-07-31,170
L020,SKU0019,2026-07-31,153
L020,SKU0020,2026-07-31,118
L020,SKU0021,2026-07-31,73
L020,SKU0022,2026-07-31,144
L020,SKU0023,2026-07-31,257
L020,SKU0024,2026-07-31,188
L020,SKU0025,2026-07-31,188
